text@abp1975m	@abp1975m	835.424	837.851	Будильник // я смотрел //
text@abp1975m	@abp1975m	837.876	840.011	я смотрел спокойной ночи малыши //
text@abp1975m	@abp1975m	840.411	842.069	и // программу  Время //
text@abp1975m	@abp1975m	842.626	845.026	потому что ну все смотрели программу Время и я смотрел программу Время
text@abp1975m	@abp1975m	847.834	847.987	пух /
text@abp1975m	@abp1975m	848.285	849.298	всю жизнь был пухом //
text@abp1975m	@abp1975m	849.849	851.406	до сих пор / многие называют так
text@abp1975m	@abp1975m	854.657	857.498	Битлы Metallica Led Zeppelin //
text@abp1975m	@abp1975m	857.582	859.812	Калинов Мост одно время у меня висел /
text@abp1975m	@abp1975m	860.088	860.972	Пантера конечно да
text@abp1975m	@abp1975m	863.316	864.038	немножко да
text@abp1975m	@abp1975m	865.866	869.022	я окончил военную кафедру / я офицер запаса / поэтому не служу
text@abp1975m	@abp1975m	871.255	873.678	от мамы за // выкапывание картошки
text@abp1975m	@abp1975m	877.39	878.446	выкапыванием картошки
text@abp1975m	@abp1975m	881.609	882.853	да но на меня он не действовал
text@abp1975m	@abp1975m	885.38	887.569	ааа / в тысяча девятьсот девяносто шестом году
text@abp1975m	@abp1975m	890.353	893.511	#нрзб# ну в Doom мы все играли в первый еще
text@abp1975m	@abp1975m	893.8	898.066	только переехал в Москву подсел на / Starcraft // и потом меня как-то раз и отпустило
text@abp1975m	@abp1975m	898.229	903.425	это кстати к разговору о том что многие родители боятся вот он всю жизнь играет вот так вот до пятидесяти лет идиотом просидит 
text@abp1975m	@abp1975m	903.447	905.492	не // его отпустит в лет тридцать пять
text@abp1975m	@abp1975m	910.026	910.329	всё
text@abp1975m	@abp1975m	911.066	918.137	ну // сформировали мои мозги / в техническом плане я // ко всему в этой жизни подхожу вот с точки зрения технологий мне это очень нравится
text@abp1975m	@abp1975m	918.42	922.094	даже в гуманитарной сфере пытаюсь какие-то законы придумать / и иногда это очень помогает
text@abp1975m	@abp1975m	926.467	927.14	наверно да
text@abp1975m	@abp1975m	927.643	932.469	это было бы скучнее конечно но // я бы всё равно занимался параллельно // какой-то музыкальной деятельностью /
text@abp1975m	@abp1975m	932.508	940.344	вообще если бы Союз не развалился наверно я бы остался // в городке уехал бы на запад там бы поработал вернулся бы потом бы снова на запад ну так бы / мотался бы между Америкой и Россией 
text@abp1975m	@abp1975m	940.806	942.303	так собственно и делают многие ученые у нас
text@abp1975m	@abp1975m	946.159	947.021	понятия не имею //
text@abp1975m	@abp1975m	947.143	948.557	я там если б был я бы сказал
text@abp1975m	@abp1975m	948.732	951.221	ну / мне кажется что // пока / не очень //
text@abp1975m	@abp1975m	952.417	959.044	но это / всё равно лучше чем было в девяносто восьмом году когда я ушел потому что я пришел в лабораторию там было / двенадцать человек // уходил там было // оставалось двое
text@abp1975m	@abp1975m	962.841	963.725	да / очень смешно //
text@abp1975m	@abp1975m	964.839	967.049	вообще это один из моих любимейших сериалов конечно //
text@abp1975m	@abp1975m	967.88	979.232	особенно вот эти последние анонсы где // Шелдон ходит и говорит я пытаюсь пытаюсь изменить свою жизнь начать есть спаржу какое гавно // а потом он / включает джаз и говорит пытаюсь слушать все ноты сразу но у меня не получается //
text@abp1975m	@abp1975m	979.91	980.596	ой смешно
text@abp1975m	@abp1975m	981.018	982.35	все ноты сразу да так и есть
text@abp1975m	@abp1975m	984.814	985.339	во всём //
text@abp1975m	@abp1975m	985.849	986.02	#смеется#
text@abp1975m	@abp1975m	986.036	988.454	мне недавно сказали страшную шутку / но она мне очень нравится //
text@abp1975m	@abp1975m	988.872	989.817	он бы тоже наверно посмеялся //
text@abp1975m	@abp1975m	990.282	992.354	знаешь почему Стивен Хокинг такой был талатнливый в физике?
text@abp1975m	@abp1975m	994.537	995.509	феноменальная усидчивость
text@abp1975m	@abp1975m	999.806	1000.096	#смеется#
text@abp1975m	@abp1975m	1004.9	1005.223	вот!
text@abp1975m	@abp1975m	1005.878	1007.173	надо с главного было начинать! 
text@abp1975m	@abp1975m	1007.211	1013.606	System / Of A Down опять меня накрыло я не знаю прям девяно... / две тысячи пятого года альбом прям включил и / оч круто!
text@abp1975m	@abp1975m	1013.752	1014.345	оч круто!
text@abp1975m	@abp1975m	1019.105	1033.7	Imagine Dragons потому что это // кал // ааа // System Of A Down это великая группа с // фантастическими // хорошими красивыми // талантливыми музыкантами // с красивыми мелодиями с прекрасной гармонией то что они соединили вот эту всю //
text@abp1975m	@abp1975m	1034.092	1036.362	свою вот эту восточную историю современную /
text@abp1975m	@abp1975m	1036.439	1037.406	да не ну что мы говорим 
text@abp1975m	@abp1975m	1037.434	1045.648	Imagine Dragons это / это / продюссерский // высер // который / почему-то действует на народ как-то и на моих детей к сожалению да? 
text@abp1975m	@abp1975m	1045.689	1047.199	у меня средний поставь поставь!
text@abp1975m	@abp1975m	1047.477	1048.233	Believer
text@abp1975m	@abp1975m	1048.577	1049.277	Believer
text@abp1975m	@abp1975m	1055.641	1056.389	#нрзб#
text@abp1975m	@abp1975m	1058.551	1060.979	дорогие друзья Imagine Dragons кал согласитесь же со мной
text@abp1975m	@abp1975m	1061.089	1063.676	я пытался нет если бы я например не слышал эту группу да?
text@abp1975m	@abp1975m	1063.918	1066.261	и начал бы здесь вый... выё... / выдрёпываться //
text@abp1975m	@abp1975m	1066.808	1068.699	а я слушал я пытался я #нрзб#
